	Фраза	Религия	Наркотики	Геи	Деньги	Сексизим	Расизм	Алкоголь	
	Люблю пивасик прохладным вечером	0	0	0	0	0	0	10	I love a pint of beer in a cold evening
	А эти кексы с гашишем? 		10						Are those weed cupcakes?
	Эй чувак, все парни и девушки братья! То есть сестры!					-10			Hey man, all men and women are like brothers... I mean sisters!
	Деньги - бумага! 				-10				Money is nothing but paper
	Что друг, дунем ? 		10						Let's blaze, my friend
	Все деньги мира нужно разделить поровну				-5				Money should be divided equally between everyone
	Ах, если бы люди всех рас жили в мире!						-10		If only people of all races could live in peace
	Воюют только латентные геи! 			-5					War is for closeted gay men
	Все войны из-за денег! 				-10				Money is the root of all wars
	Давно пора легализовать! 		8						Should've legalised it a long time ago...
	Я ничего не имею против религии, но ее устои устарели	-4							I don't hold anything against religion, but man, are some of their ideas outdated
	Все должны любить друг друга! 	5	5	5	-5	-10	-10	5	All of us should love eachother
	Ну вот будут у тебя деньги, что ты сделаешь ? 				-5				So even if you had money, what would have you done?
	Чувак! Это классная дурь! Я вижу то, что ты слышишь! 		10						Dude! Stuff is good! I can see what you hear!
	Тебе нужно выпить и расслабиться!		8					10	Just drink and chillout
	Свободная любовь!	-5	5	7		-8	-5	5	Free Love, man!
	Расизм и сексизим уходит в прошлое					-10	-10		Racism and Sexism are outdated
	Ты мне не брат!	-5	-5	-5	-5	-5	-5	-5	You are no brother to me
