	Фраза	Религия	Наркотики	Геи	Деньги	Сексизим	Расизм	Алкоголь
	Я не пью алкоголь, я пью протеиновые смеси							-10
	Верю в правильное питание. И в свой зал. И в гантели. Да, в гантели.	-5	-5					
	Ненавижу голубых. Особенно в душевой. И лесбиянок ненавижу. Вот так вот 			-10		5		
	Мне платят деньги за тренировки. На них я покупаю протеин. Люблю протеин. И деньги люблю.				10			
	Женщина в зале? Ха, только если на ресепшене! 					10		
	Чёрный, белый. Нет разницы. Главное, чтобы жал хорошо.						-10	
	Вера - хорошо, если это вера в спорт! 	-8						
	Ненавижу наркотики. И этих, как там они...наркоманов. 		-10					
	Уронил как-то штангу на одного педика			-10				
	Деньги это как куриные грудки. Только их есть нельзя.				8			
	Женщина должна любоваться на мой пресс. На этом всё.					10		
	Все, кто ходят в качалку - крыте. Уважаю крутых. Даже если они чёрные или латиносы						-10	
	Бью алкашей. Слабаки. 							-10
