	Фраза	Религия	Наркотики	Геи	Деньги	Сексизим	Расизм	Алкоголь	
	Тебе просто стоит больше работать! 				5				You should just work more!
	У меня много черных друзей!						-5		I have a lot of black freinds!
	Все латиносы на одно лицо						8		All latinos look the same
	А мог вы сейчас пить пиво в баре.							10	I could have been drinking at the bar right now...
	Держи свою религию при себе!	-10							Keep your religion to yourself!
	Ты прав, дург мой!	10	10	10	10	10	10	10	You are right, my friend!
	Будь немного вежливей, пьянь! 							-10	Be polite, drunkard!
	Прости, мелочи нет				10				Sorry, no spare change
	Я не доверяю наркоманам!		-10						I don't trust addicts
	Я не прочь дунуть, ели вы понимаете, о чем я		8						I'm fine to hit the weed, if you know what I mean
	Не женское это дело					8			It's not a job a woman could ever do
	Я не такой, я люблю женщин			-7					I'm not like that! I love women
	Давненько я не исповедовался	8							I haven't confessed in a long time...
	В газете писали, что это все из-за арабов						10		I've read in a paper - it's all because of arabs
	Был бы я богат, я бы тут с вами не сидел				10				If I were rich, I would have never agreed to be here
	Не понимаю, почему не любят геев, они хотя бы вежливые			8					I don't understand why people hate on gays. At least they are polite
	Кто я такой, чтобы вмешиваться	4	4	4	4	4	4	4	Who am I to weigh in
	Вы все неправы!	-5	-5	-5	-5	-5	-5	-5	All of you are wrong!
	Вы все мне отвратительны!	-10	-10	-10	-10	-10	-10	-10	You all disgust me!
	Японцы, китайцы. Какая разница ? 						10		Japanes, Chinese. Why would that matter?
